nodes,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,mismatches
1000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1000,4,0.008257,0.008507,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1000,5,0.008246,0.008500,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,1,0.022807,0.023654,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,2,0.022823,0.023661,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,3,0.022813,0.023647,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,4,0.022811,0.023651,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,5,0.022819,0.023652,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,1,0.022457,0.023285,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,2,0.022464,0.023291,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,3,0.022474,0.023294,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,4,0.022481,0.023306,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,5,0.022493,0.023315,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,1,0.049577,0.051505,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,2,0.049793,0.051726,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,3,0.049943,0.051856,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,4,0.049997,0.051902,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,5,0.049916,0.051853,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,1,0.049379,0.051275,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,2,0.049374,0.051269,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,3,0.049372,0.051276,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,4,0.049354,0.051290,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,5,0.049282,0.051234,,,0,0
