alphabet,mode,payload,sig_len,signatures,alpha,seed,planted,found,report_sig,report_score,report_pos,mismatches
lower26,literal,512,16,10000,0.80,51,0,0,,,,0
lower26,literal,512,16,10000,0.80,52,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,52,0,0,,,,0
lower26,literal,512,16,10000,0.80,53,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,53,0,0,,,,0
lower26,literal,512,16,10000,0.80,54,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,54,0,0,,,,0
lower26,literal,512,16,10000,0.80,55,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,55,0,0,,,,0
lower26,literal,512,16,10000,0.80,56,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,56,0,0,,,,0
lower26,literal,512,16,10000,0.80,57,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,57,0,0,,,,0
lower26,literal,512,16,10000,0.80,58,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,58,0,0,,,,0
lower26,literal,512,16,10000,0.80,59,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,59,0,0,,,,0
lower26,literal,512,16,10000,0.80,60,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,60,0,0,,,,0
lower26,literal,512,16,10000,0.80,61,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,61,0,0,,,,0
lower26,literal,512,16,10000,0.80,62,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,62,0,0,,,,0
lower26,literal,512,16,10000,0.80,63,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,63,0,0,,,,0
lower26,literal,512,16,10000,0.80,64,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,64,0,0,,,,0
lower26,literal,512,16,10000,0.80,65,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,65,0,0,,,,0
lower26,literal,512,16,10000,0.80,66,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,66,0,0,,,,0
lower26,literal,512,16,10000,0.80,67,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,67,0,0,,,,0
lower26,literal,512,16,10000,0.80,68,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,68,0,0,,,,0
lower26,literal,512,16,10000,0.80,69,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,69,0,0,,,,0
lower26,literal,512,16,10000,0.80,70,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,70,0,0,,,,0
lower26,literal,512,16,10000,0.80,71,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,71,0,0,,,,0
lower26,literal,512,16,10000,0.80,72,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,72,0,0,,,,0
lower26,literal,512,16,10000,0.80,73,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,73,0,0,,,,0
lower26,literal,512,16,10000,0.80,74,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,74,0,0,,,,0
lower26,literal,512,16,10000,0.80,75,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,75,0,0,,,,0
lower26,literal,512,16,10000,0.80,76,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,76,0,0,,,,0
lower26,literal,512,16,10000,0.80,77,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,77,0,0,,,,0
lower26,literal,512,16,10000,0.80,78,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,78,0,0,,,,0
lower26,literal,512,16,10000,0.80,79,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,79,0,0,,,,0
lower26,literal,512,16,10000,0.80,80,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,80,0,0,,,,0
lower26,literal,512,16,10000,0.80,81,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,81,0,0,,,,0
lower26,literal,512,16,10000,0.80,82,1,1,1356,13,10,0
lower26,literal,512,16,10000,0.80,82,0,0,,,,0
lower26,literal,512,16,10000,0.80,83,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,83,0,0,,,,0
lower26,literal,512,16,10000,0.80,84,1,1,1356,13,10,0
lower26,literal,512,16,10000,0.80,84,0,0,,,,0
lower26,literal,512,16,10000,0.80,85,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,85,0,0,,,,0
lower26,literal,512,16,10000,0.80,86,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,86,0,0,,,,0
