alphabet,mode,payload,sig_len,signatures,alpha,seed,planted,found,report_sig,report_score,report_pos,mismatches
lower26,literal,512,16,10000,0.50,51,0,0,,,,0
lower26,literal,512,16,10000,0.50,52,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,52,0,0,,,,0
lower26,literal,512,16,10000,0.50,53,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,53,0,0,,,,0
lower26,literal,512,16,10000,0.50,54,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,54,0,0,,,,0
lower26,literal,512,16,10000,0.50,55,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,55,0,0,,,,0
lower26,literal,512,16,10000,0.50,56,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,56,0,0,,,,0
lower26,literal,512,16,10000,0.50,57,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,57,0,0,,,,0
lower26,literal,512,16,10000,0.50,58,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,58,0,0,,,,0
lower26,literal,512,16,10000,0.50,59,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,59,0,0,,,,0
lower26,literal,512,16,10000,0.50,60,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,60,0,0,,,,0
lower26,literal,512,16,10000,0.50,61,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,61,0,0,,,,0
lower26,literal,512,16,10000,0.50,62,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,62,0,0,,,,0
lower26,literal,512,16,10000,0.50,63,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,63,0,0,,,,0
lower26,literal,512,16,10000,0.50,64,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,64,0,0,,,,0
lower26,literal,512,16,10000,0.50,65,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,65,0,0,,,,0
lower26,literal,512,16,10000,0.50,66,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,66,0,0,,,,0
lower26,literal,512,16,10000,0.50,67,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,67,0,0,,,,0
lower26,literal,512,16,10000,0.50,68,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,68,0,0,,,,0
lower26,literal,512,16,10000,0.50,69,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,69,0,0,,,,0
lower26,literal,512,16,10000,0.50,70,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,70,0,0,,,,0
lower26,literal,512,16,10000,0.50,71,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,71,0,0,,,,0
lower26,literal,512,16,10000,0.50,72,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,72,0,0,,,,0
lower26,literal,512,16,10000,0.50,73,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,73,0,0,,,,0
lower26,literal,512,16,10000,0.50,74,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,74,0,0,,,,0
lower26,literal,512,16,10000,0.50,75,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,75,0,0,,,,0
lower26,literal,512,16,10000,0.50,76,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,76,0,0,,,,0
lower26,literal,512,16,10000,0.50,77,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,77,0,0,,,,0
lower26,literal,512,16,10000,0.50,78,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,78,0,0,,,,0
lower26,literal,512,16,10000,0.50,79,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,79,0,0,,,,0
lower26,literal,512,16,10000,0.50,80,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,80,0,0,,,,0
lower26,literal,512,16,10000,0.50,81,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,81,0,0,,,,0
lower26,literal,512,16,10000,0.50,82,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,82,0,0,,,,0
lower26,literal,512,16,10000,0.50,83,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,83,0,0,,,,0
lower26,literal,512,16,10000,0.50,84,1,1,1356,9,8,0
