nodes,topology,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,energy_counter_j,mismatches
6000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,34969,4,0.069881,0.077473,10.556,139.238,73,21.154,0
6000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,34969,5,0.069839,0.077387,11.426,151.075,73,21.678,0
12000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,139876,1,0.519626,0.549233,122.047,222.657,523,131.709,0
12000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,139876,2,0.519595,0.548712,137.798,251.900,522,131.778,0
12000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,139876,3,0.519607,0.548742,137.810,251.931,522,131.810,0
12000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,139876,4,0.519620,0.548917,137.860,252.018,522,132.044,0
12000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,139876,5,0.519586,0.548711,137.944,252.163,522,132.097,0
12000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,139876,1,0.519661,0.549161,122.012,223.032,522,152.068,0
12000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,139876,2,0.519652,0.548709,138.572,253.198,522,151.789,0
12000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,139876,3,0.519652,0.548715,138.585,253.318,522,152.350,0
12000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,139876,4,0.519676,0.548925,138.845,253.732,522,154.282,0
12000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,139876,5,0.519656,0.548664,136.663,249.816,522,148.491,0
24000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,561001,1,4.073157,4.188102,1120.978,267.755,3988,1154.652,0
24000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,561001,2,4.072956,4.187930,1129.311,269.754,3988,1155.270,0
24000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,561001,3,4.072841,4.187761,1133.286,270.706,3988,1161.502,0
24000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,561001,4,4.072541,4.189139,1136.940,271.493,3988,1164.253,0
24000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,561001,5,4.072544,4.187344,1139.064,272.146,3987,1168.273,0
24000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,561001,1,4.072746,4.187741,1124.214,268.522,3988,1155.338,0
24000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,561001,2,4.072476,4.187718,1131.805,270.352,3983,1160.749,0
24000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,561001,3,4.072405,4.187760,1136.540,271.475,3988,1163.604,0
24000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,561001,4,4.072204,4.187269,1139.754,272.307,3987,1167.955,0
24000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,561001,5,4.072040,4.187168,1141.896,272.819,3987,1169.802,0
