nodes,topology,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,energy_counter_j,mismatches
6000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,4,1.379627,1.379627,,,0,,
6000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,5,1.373437,1.373437,,,0,,
12000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,1,19.568069,19.568069,,,0,,
12000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,2,19.570517,19.570517,,,0,,
12000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,3,19.583974,19.583974,,,0,,
12000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,4,19.578972,19.578972,,,0,,
12000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,5,19.569420,19.569420,,,0,,
24000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,1,180.285309,180.285309,,,0,,
24000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,2,180.286371,180.286371,,,0,,
24000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,3,180.278394,180.278394,,,0,,
24000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,4,180.295362,180.295362,,,0,,
24000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,5,180.287617,180.287617,,,0,,
