nodes,topology,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,energy_counter_j,mismatches
12000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,139876,4,0.519605,0.548916,,,0,,0
12000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,139876,5,0.519662,0.549062,,,0,,0
24000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,561001,1,4.073308,4.189704,,,0,,0
24000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,561001,2,4.073056,4.190398,,,0,,0
24000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,561001,3,4.072814,4.190100,,,0,,0
24000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,561001,4,4.072611,4.189499,,,0,,0
24000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,561001,5,4.072447,4.189481,,,0,,0
24000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,561001,1,4.073842,4.324707,,,0,,0
24000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,561001,2,4.072587,4.188040,,,0,,0
24000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,561001,3,4.072394,4.187781,,,0,,0
24000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,561001,4,4.072167,4.187758,,,0,,0
24000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,561001,5,4.072092,4.187088,,,0,,0
