nodes,target,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,mismatches
12000,gpu,coalesced,off,always,none,256,864,3,46.560441,46.673028,,,0,0
12000,gpu,coalesced,off,always,none,256,864,4,45.904250,46.016726,,,0,0
12000,gpu,coalesced,off,always,none,256,864,5,46.564000,46.676261,,,0,0
12000,gpu,coalesced,on,changed,none,256,864,1,34.971457,35.084352,,,0,0
12000,gpu,coalesced,on,changed,none,256,864,2,35.692309,35.805249,,,0,0
12000,gpu,coalesced,on,changed,none,256,864,3,35.755887,35.868761,,,0,0
12000,gpu,coalesced,on,changed,none,256,864,4,35.682934,35.795755,,,0,0
12000,gpu,coalesced,on,changed,none,256,864,5,35.674398,35.788873,,,0,0
12000,gpu,coalesced,off,changed,none,256,864,1,32.902879,33.014470,,,0,0
12000,gpu,coalesced,off,changed,none,256,864,2,32.609326,32.721007,,,0,0
12000,gpu,coalesced,off,changed,none,256,864,3,32.759598,32.871323,,,0,0
12000,gpu,coalesced,off,changed,none,256,864,4,32.735754,32.847048,,,0,0
12000,gpu,coalesced,off,changed,none,256,864,5,32.736461,32.847577,,,0,0
