nodes,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,mismatches
12000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,32,4224,3,5.886011,5.915537,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,32,4224,4,5.886074,5.915812,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,32,4224,5,5.886234,5.915912,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,32,4224,1,46.393559,46.510784,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,32,4224,2,46.392133,46.509360,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,32,4224,3,46.394211,46.511419,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,32,4224,4,46.408793,46.526079,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,32,4224,5,46.425891,46.543100,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,32,4224,1,46.351062,46.467687,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,32,4224,2,46.363371,46.480017,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,32,4224,3,46.350727,46.467384,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,32,4224,4,46.351184,46.467804,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,32,4224,5,46.351805,46.468434,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,1000,1,0.010971,0.011223,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,1000,2,0.010957,0.011203,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,1000,3,0.010953,0.011201,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,1000,4,0.010939,0.011187,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,1000,5,0.010950,0.011197,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,1000,1,0.010953,0.011202,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,1000,2,0.010942,0.011198,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,1000,3,0.010948,0.011201,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,1000,4,0.010949,0.011196,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,1000,5,0.010945,0.011195,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,2000,1,0.030512,0.031343,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,2000,2,0.030509,0.031340,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,2000,3,0.030511,0.031342,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,2000,4,0.030495,0.031329,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,2000,5,0.030536,0.031360,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,2000,1,0.030453,0.031283,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,2000,2,0.030454,0.031279,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,2000,3,0.030449,0.031278,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,2000,4,0.030433,0.031260,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,2000,5,0.030463,0.031291,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,3000,1,0.059354,0.061255,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,3000,2,0.059321,0.061210,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,3000,3,0.059338,0.061218,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,3000,4,0.059350,0.061237,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,3000,5,0.059400,0.061286,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,3000,1,0.061550,0.063420,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,3000,2,0.061628,0.063501,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,3000,3,0.061565,0.063454,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,3000,4,0.061573,0.063468,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,3000,5,0.061488,0.063379,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,4224,1,0.582063,0.589565,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,4224,2,0.582333,0.590078,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,4224,3,0.582212,0.589754,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,4224,4,0.582124,0.589649,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,4224,5,0.581995,0.589546,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,4224,1,0.576493,0.584208,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,4224,2,0.576824,0.584798,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,4224,3,0.576475,0.584203,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,4224,4,0.576528,0.584284,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,4224,5,0.576456,0.584143,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,4224,1,3.193437,3.223036,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,4224,2,3.193456,3.223009,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,4224,3,3.193234,3.222507,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,4224,4,3.193126,3.222584,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,4224,5,3.193178,3.222587,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,4224,1,3.177703,3.207284,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,4224,2,3.178053,3.207562,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,4224,3,3.177555,3.206820,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,4224,4,3.177916,3.207328,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,4224,5,3.177349,3.206734,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,4224,1,24.688002,24.804531,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,4224,2,24.695531,24.811839,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,4224,3,24.687361,24.803695,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,4224,4,24.685949,24.802200,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,64,4224,5,24.686674,24.802820,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,4224,1,24.611939,24.728538,,,0,0
